amenity,osmBench
amenity,osmPostbox
amenity,osmPostoffice
amenity,osmPharmacy
amenity,osmToilets
amenity,osmPolice
amenity,osmATM
amenity,osmFuel
amenity,osmSchool
amenity,osmUniversity
amenity,osmBicycleparking
amenity,osmBicyclerental
amenity,osmTaxi
amenity,osmParking
amenity,osmArtscentre
amenity,osmTheatre
amenity,osmCinema
tourism,osmInformation
tourism,osmMuseum
tourism,osmArtwork
tourism,osmGallery
tourism,osmPicnic
tourism,osmZoo
tourism,osmViewpoint
tourism,osmAttraction
tourism,osmHotel
tourism,osmApartment
tourism,osmGuesthouse
tourism,osmHostel
tourism,osmMotel
tourism,osmCampsite
tourism,osmCampsiteCountry
sport,osmSoccer
sport,osmUsFootball
sport,osmGolf
sport,osmTennis
sport,osmVolleybal
sport,osmBaseball
sport,osmBasketball
sport,osmIcehockey
sport,osmHockey
sport,osmCycling
sport,osmHorseracing
sport,osmSwimming
sport,osmSurfing
sport,osmGymnastics
shop,osmSupermarket
shop,osmMall
shop,osmGeneral
shop,osmDepartmentstore
shop,osmClothes
shop,osmFashion
shop,osmJewelry
shop,osmLeather
shop,osmShoes
shop,osmHairdresser
shop,osmBeauty
shop,osmCosmetics
shop,osmChemist
shop,osmOpticien
shop,osmBooks
shop,osmPhoto
shop,osmToys
shop,osmGift
shop,osmBicycle
shop,osmMusicalinstruments
food,osmRestaurant
food,osmBar
food,osmCafe
food,osmPub
food,osmIcecream
food,osmFastfood
food,osmSupermarket
food,osmBakery
food,osmConfectionery
food,osmDeli
food,osmDairy
food,osmCheese
food,osmGreengrocer
food,osmGrocery
food,osmButcher
food,osmCoffee
food,osmSeafood
food,osmOrganic
food,osmDrinkingwater
food,osmAlcohol
food,osmWine
food,osmBeverages
various,osmTravelagency
various,osmCopyshop
various,osmDefibrilator
various,osmFirehose
various,osmMemorial
various,osmMonument
various,osmWindmill
